ur_id,block,rating,lastKeypress,RPAmp,id,burstcount,betamedian,betamean,startlast,endlast,amplast,durlast
18,6,6,2.1658908701138,-4.65485191345215,18,1,1.69230461120605,1.79185593128204,199,215,1.77197539806366,17
18,6,5,2.26967827127737,-12.2249698638916,18,1,1.55771851539612,1.66540944576263,55,65,2.03741526603699,11
18,6,5,4.57887416185622,-2.92925333976746,18,1,1.26136708259583,1.47531175613403,47,62,1.8944000005722,16
18,6,2,2.11411831901569,4.04315757751465,18,1,1.57897770404816,1.69273519515991,113,122,1.02341973781586,10
18,6,7,3.56965070281876,-6.79230690002441,18,0,1.4383407831192,1.45144534111023,250,250,0.844115495681763,1
18,6,5,2.88575722880341,-1.38600981235504,18,4,2.58039116859436,2.86351466178894,167,198,3.62387180328369,32
18,6,4,2.09557631887583,-0.208331018686295,18,4,3.3762834072113,3.52914810180664,56,176,5.90562009811401,121
18,6,5,2.43115323110032,1.96354949474335,18,1,1.46041083335876,1.6156759262085,190,209,1.36573505401611,20
18,7,4,2.87927197577301,16.4541778564453,18,0,1.44855260848999,1.47923970222473,250,250,0.491400986909866,1
18,7,3,2.03978091995305,4.5847635269165,18,5,2.49863743782043,2.63102912902832,176,200,5.24206352233887,25
18,7,6,6.00161352775467,3.90211844444275,18,2,2.06921219825745,2.08039140701294,129,140,2.08618116378784,12
18,7,4,2.38595051445736,44.1452369689941,18,1,1.57554244995117,1.61890208721161,246,250,1.73244321346283,5
18,7,4,2.31895668320794,-11.3764562606812,18,3,1.82917451858521,1.88773083686829,204,215,2.69700646400452,12
18,7,5,3.27103675701801,-14.4232320785522,18,1,1.26757097244263,1.43604922294617,243,250,1.4018120765686,8
18,7,7,12.0534172208536,-20.9177627563477,18,0,1.54597139358521,1.58082067966461,250,250,1.54597139358521,1
18,7,6,10.9476057735665,-19.5642852783203,18,2,1.99580788612366,2.00833797454834,151,161,2.24468851089478,11
18,7,4,2.53716014692691,-19.2269325256348,18,0,2.10194516181946,2.06484723091125,250,250,2.85608863830566,1
18,7,7,7.3436874897925,1.93619990348816,18,0,1.45284676551819,1.49359130859375,250,250,1.07125377655029,1
18,7,6,5.50153667332052,-3.59771370887756,18,0,1.14031445980072,1.22808277606964,250,250,1.73963141441345,1
18,7,6,2.25044983132102,18.6440887451172,18,6,2.97694540023804,3.03700041770935,225,249,2.59636116027832,25
18,7,5,6.28297565813045,17.4275856018066,18,2,1.79598927497864,1.98682844638824,220,238,3.9592342376709,19
18,7,4,2.58799310550603,0.924014866352081,18,0,1.39481222629547,1.45766592025757,250,250,1.36790943145752,1
18,7,6,3.10191435098386,12.4041805267334,18,0,1.78575468063354,1.74669361114502,250,250,2.49533367156982,1
18,8,2,2.20573265888743,54.7468795776367,18,1,1.96908092498779,2.03825521469116,45,61,2.93540072441101,17
18,8,3,3.31380502780667,-43.208065032959,18,4,2.49497842788696,2.4874370098114,186,187,1.28779113292694,2
18,8,4,2.42266764334636,9.48511409759521,18,1,1.79895734786987,1.87037003040314,196,197,2.06184720993042,2
18,8,6,4.25103493799179,3.99252247810364,18,2,2.33465886116028,2.61404967308044,224,234,3.44679832458496,11
18,8,5,3.3853170419352,35.1877861022949,18,2,2.67409515380859,2.88751101493835,148,192,4.55746841430664,45
18,8,3,3.83991219225572,5.630042552948,18,1,1.97861194610596,1.99298679828644,36,49,2.52360987663269,14
18,8,7,4.80383714840718,-16.923755645752,18,1,1.68160903453827,1.65546894073486,145,149,1.82713711261749,5
18,8,4,2.18796970054609,56.8387908935547,18,1,1.79613780975342,2.07661890983582,102,125,2.91126012802124,24
18,8,5,3.96897811158124,4.50948238372803,18,1,1.53657114505768,1.71772873401642,23,30,2.59508800506592,8
18,8,6,4.75124379625049,1.29798674583435,18,3,2.21442770957947,2.7149293422699,159,173,1.74735236167908,15
18,8,7,10.3325678575275,3.43465614318848,18,0,1.67511224746704,1.71344518661499,250,250,1.72622907161713,1
18,8,5,2.8182894144702,-0.168784007430077,18,1,1.42889022827148,1.7330207824707,122,146,1.59536623954773,25
18,8,6,8.90694377168256,8.13838768005371,18,2,1.85287261009216,1.9507247209549,196,201,2.10096955299377,6
18,8,5,3.59422720976727,-15.3795700073242,18,0,1.72503852844238,1.69193339347839,250,250,1.86536550521851,1
18,8,6,3.72972364695306,1.85435461997986,18,3,1.7446870803833,2.01595067977905,83,90,2.18624782562256,8
18,8,5,4.9981107884596,24.3670330047607,18,1,1.95536136627197,2.00357913970947,43,50,1.90298664569855,8
18,8,6,3.07458229474287,-20.1844825744629,18,3,2.46560525894165,2.62565183639526,169,182,4.73652124404907,14
18,8,3,2.23472436753582,10.3380756378174,18,6,3.25003337860107,3.12579989433289,187,226,4.28716945648193,40
18,8,6,3.64055366281173,-8.95041751861572,18,0,1.61985898017883,1.74964034557343,250,250,1.57233464717865,1
18,8,6,4.10840160915177,5.13317346572876,18,4,2.53385162353516,2.46472001075745,151,171,3.05581212043762,21
18,8,7,4.79339923588486,-2.2402355670929,18,1,1.52822077274323,1.678013920784,199,217,1.78845548629761,19
19,1,0,3.27477377342075,-0.439157426357269,19,1,1.19461715221405,1.2794771194458,129,146,1.93835926055908,18
19,1,0,3.36167469858265,-7.36505365371704,19,1,1.36285960674286,1.4287360906601,86,112,1.71095561981201,27
19,1,4,7.83773773869325,21.4232616424561,19,1,1.27703762054443,1.30308830738068,163,180,1.2850536108017,18
19,1,1,5.4750819229339,24.9960765838623,19,6,1.77942943572998,1.78314661979675,198,222,1.46939754486084,25
19,1,0,14.7948064338925,27.5705337524414,19,5,1.62691688537598,1.69807398319244,185,197,1.29727911949158,13
19,1,0,5.37850584629632,-15.4492073059082,19,1,1.24046862125397,1.27291488647461,53,68,1.54296398162842,16
19,1,1,5.02481432486456,15.1649026870728,19,2,1.42425262928009,1.49412703514099,139,153,2.35550498962402,15
19,1,0,4.52436222061806,-11.0243453979492,19,3,1.47079563140869,1.56685400009155,88,90,1.99954223632812,3
19,1,0,2.2941709039369,-3.69121623039246,19,4,1.6791934967041,1.73023998737335,151,159,2.40691232681274,9
19,1,0,2.50050683363952,-3.28112459182739,19,5,1.7242659330368,1.80578339099884,232,240,2.21822142601013,9
19,1,0,4.63089479012706,6.49481296539307,19,4,1.51212501525879,1.49089980125427,184,196,1.19027280807495,13
19,1,0,5.85910098813474,49.2109489440918,19,1,1.32657527923584,1.39907562732697,68,86,1.75832200050354,19
19,1,0,2.24496715829082,16.7329139709473,19,3,1.6124564409256,1.668661236763,141,152,1.79665076732635,12
19,1,0,10.3309657716054,22.3156700134277,19,2,1.54053711891174,1.57831764221191,209,225,1.75388622283936,17
19,1,3,5.20612394354612,-7.27453756332397,19,3,1.25860381126404,1.35640954971313,183,199,1.31203699111938,17
19,1,1,4.43852911977956,-3.24810910224915,19,0,1.15546321868896,1.12264394760132,250,250,1.25916504859924,1
19,1,0,2.43359958790097,13.6179752349854,19,3,1.41770815849304,1.57003438472748,109,130,2.19582414627075,22
19,1,0,12.386868280526,10.8112287521362,19,3,1.69556105136871,1.80182707309723,80,151,2.43117880821228,72
19,1,0,4.89868832344291,2.08323526382446,19,3,1.35788238048553,1.42957830429077,234,246,2.17119312286377,13
19,1,3,2.47914098252295,-19.5830307006836,19,0,0.972427606582642,1.01942467689514,250,250,0.6097132563591,1
19,1,0,2.11809162002464,19.8586406707764,19,4,1.36487698554993,1.37449538707733,134,145,1.24551594257355,12
19,1,0,2.96775433993025,8.06668567657471,19,4,1.68496966362,1.79627656936646,236,238,1.62652254104614,3
19,2,0,3.34257861423612,-2.03746104240417,19,3,1.14621758460999,1.29583895206451,3,10,1.95310211181641,8
19,2,3,5.751505794884,-11.9186391830444,19,1,1.12968003749847,1.20413601398468,223,238,1.80926787853241,16
19,2,1,11.6565276780093,20.0496158599854,19,2,1.34737432003021,1.56056463718414,211,218,1.25709700584412,8
19,2,0,6.7978827339939,-8.69783020019531,19,1,1.09872794151306,1.2039829492569,4,21,1.31382977962494,18
19,2,0,8.82845364173409,-9.00093650817871,19,1,1.36630260944366,1.3216518163681,25,34,1.47565090656281,10
19,2,0,4.79639071337806,57.4459648132324,19,6,1.9989560842514,1.96573674678802,216,225,2.84161400794983,10
19,2,0,2.66138984810459,3.49861574172974,19,0,1.29159820079803,1.30734813213348,250,250,0.94233649969101,1
19,2,5,3.20622115143851,8.85684680938721,19,0,0.97961562871933,0.963116765022278,250,250,0.754837274551392,1
19,2,4,4.3391046600118,18.8322525024414,19,3,1.70864105224609,1.76320612430573,222,246,2.98330354690552,25
19,2,1,3.71371612700386,10.2557878494263,19,1,1.15999591350555,1.26100647449493,230,247,1.24014377593994,18
19,2,5,7.72875714969996,0.736390590667725,19,1,1.12707579135895,1.14362192153931,156,165,1.06100082397461,10
